Brooklyn,102,211.5,209.5,230
Toronto,129,220.5,218.5,230
Houston,113,6,6.5,-280
SanAntonio,97,6.5,6,-260
Dallas,91,200.5,200,210
Washington,102,209.5,211,110
Miami,93,1.5,1.5,-130
Utah,101,202.5,202,145
NewYork,106,3,3.5,-170
Sacramento,80,205,205.5,170
Atlanta,126,3.5,4.5,-200
SanAntonio,86,209.5,208.5,175
Minnesota,98,5,5,-210
Cleveland,115,217.5,218,-110
Charlotte,107,1.5,pk,-110
Toronto,125,217,218.5,130
NewOrleans,116,3,3,-150
Chicago,79,202.5,203.5,750
OklahomaCity,92,12,13,-1200
Indiana,116,209,203,130
Memphis,113,4.5,3,-150
Detroit,95,208,205,160
Milwaukee,99,3,5,-190
Orlando,94,212,213.5,180
Portland,99,5.5,5.5,-220
Philadelphia,115,2.5,4,-170
LALakers,109,219.5,221,145
GoldenState,88,6,7,-310
Boston,92,217.5,219,250
Houston,142,11,12.5,-1000
Phoenix,116,228.5,230.5,650
Detroit,100,211.5,211.5,100
Indiana,107,1.5,1.5,-120
Miami,91,208.5,205.5,160
Washington,88,4.5,5,-190
NewYork,84,218.5,217,270
Toronto,107,7.5,7.5,-340
LAClippers,113,224,223,210
Cleveland,118,6.5,6.5,-260
Utah,107,1.5,209.5,115
Brooklyn,118,211.5,2,-135
OklahomaCity,101,198.5,1.5,-125
SanAntonio,104,pk,200,105
Charlotte,120,7,6.5,-280
Chicago,123,196.5,198.5,230
Minnesota,111,7.5,6,-250
Dallas,87,211,212,200
Portland,82,7.5,7,-290
Sacramento,86,197.5,199,235
NewOrleans,114,216,222,170
Denver,146,3.5,5,-200
Phoenix,122,225.5,229,255
LALakers,113,6,7.5,-320
LAClippers,87,212,213,170
Charlotte,102,4,5,-195
Utah,125,211.5,208,220
Orlando,85,6,6,-260
GoldenState,124,8.5,9,-400
Philadelphia,116,232.5,233,330
Boston,110,7,6,-260
Atlanta,99,205,202.5,220
Houston,105,6,7.5,-285
Memphis,83,212,214,240
Milwaukee,79,7.5,6,-250
Dallas,111,205,203.5,210
Sacramento,90,199,194.5,600
Portland,102,11.5,12,-800
Indiana,120,207,208.5,190
Miami,95,3,5.5,-240
Washington,91,214,208.5,210
Toronto,100,5.5,6,-260
GoldenState,118,12.5,11.5,-800
Brooklyn,111,234,230.5,550
Detroit,100,208.5,208.5,200
Minnesota,97,5,6,-250
Chicago,105,213.5,215.5,125
Phoenix,113,2.5,2.5,-145
Denver,109,5,5,-200
LALakers,127,220,223,170
Utah,86,213,210,220
Philadelphia,107,7,6.5,-270
Cleveland,116,1.5,2.5,-135
Detroit,88,215.5,216,115
Minnesota,102,214,211.5,120
Charlotte,118,1.5,2.5,-140
Indiana,105,222.5,220,140
Orlando,97,3,3.5,-160
LAClippers,85,211,2,-130
NewYork,107,1.5,208.5,110
Portland,100,1,1.5,-120
Memphis,92,193,197,100
Washington,99,208.5,208,140
Milwaukee,88,4,3.5,-160
OklahomaCity,107,2.5,3,-150
NewOrleans,114,214.5,213.5,130
Atlanta,85,204.5,203.5,350
SanAntonio,96,9,9,-450
Boston,110,8,7,-300
Dallas,102,196.5,200,240
Denver,114,7.5,5,-240
Sacramento,98,208,210.5,190
Chicago,94,209,212,185
LALakers,103,5.5,5.5,-230
Washington,124,210.5,208,130
Charlotte,129,1.5,3,-150
Brooklyn,109,229,228,600
Cleveland,119,11,11,-900
Portland,81,211,210.5,155
Philadelphia,101,3,4.5,-185
LAClippers,116,2.5,3,-150
Atlanta,103,210.5,209,130
Toronto,100,3,4,-180
NewYork,108,213,210,150
Boston,98,2.5,1.5,-125
Miami,104,195,195.5,105
Orlando,118,216.5,217,230
Minnesota,124,7,7,-280
GoldenState,91,4,5.5,-240
OklahomaCity,108,225,221.5,190
Denver,95,227.5,223.5,350
Houston,125,9.5,9,-450
Dallas,95,196,199.5,200
Memphis,94,5.5,6,-250
SanAntonio,90,208,207,-105
NewOrleans,107,2,1,-115
Chicago,80,196.5,195.5,300
Utah,110,8,8.5,-400
Milwaukee,113,6,2,-130
Phoenix,107,221,218.5,110
LALakers,102,1,205,-105
Sacramento,113,209,1,-115
Portland,127,3.5,4.5,-180
Brooklyn,125,210,210.5,155
NewYork,104,2,206.5,-105
Atlanta,116,209.5,1,-115
Orlando,103,208,208.5,230
Boston,118,8.5,6.5,-280
Detroit,99,204,201.5,314
OklahomaCity,98,8,8.5,-396
Miami,109,207.5,207.5,135
Minnesota,97,4,3,-155
Toronto,104,pk,2,-125
Indiana,107,216.5,217,105
Charlotte,99,220.5,217,192
Cleveland,100,5.5,5.5,-230
Memphis,92,208.5,210,207
Denver,104,6,6,-250
NewOrleans,115,6,6.5,-280
Phoenix,91,230,225.5,230
Chicago,94,215,211.5,1098
GoldenState,143,19.5,16,-2200
Orlando,111,220,221,180
Philadelphia,130,4,5.5,-220
SanAntonio,106,1,201,105
Charlotte,86,202,1.5,-125
Portland,108,201.5,201.5,145
Washington,105,3.5,4.5,-170
Toronto,112,7.5,6.5,-260
Atlanta,78,211.5,209,210
Boston,108,2,3.5,-160
Indiana,98,207,204.5,140
NewYork,102,219,213.5,750
Houston,117,13.5,19,-1400
NewOrleans,95,229.5,227.5,500
GoldenState,110,13,10.5,-700
OklahomaCity,81,6,6.5,-270
Dallas,97,200,204,220
Milwaukee,108,1.5,1,-115
Utah,121,199.5,197,-105
LAClippers,97,5,4.5,-190
Sacramento,95,205,202.5,160
Miami,100,7,7.5,-310
Chicago,93,195,193.5,250
Phoenix,108,227,220.5,550
Minnesota,119,11.5,11,-800
Brooklyn,98,212,212,190
Memphis,88,5.5,5.5,-240
Orlando,109,218.5,219,160
Indiana,121,3.5,4.5,-185
Cleveland,113,pk,224,110
Philadelphia,91,225,2,-130
Portland,103,1,1.5,-125
NewYork,91,202,203.5,105
Detroit,118,198.5,199,199
Boston,108,6.5,6,-240
Brooklyn,103,228.5,224,1453
Houston,117,16,18,-4000
Dallas,108,194.5,194,344
SanAntonio,115,8.5,9,-440
Sacramento,110,211,204,711
GoldenState,106,16,12.5,-1100
LALakers,115,215,217,163
LAClippers,120,4.5,4.5,-190
Miami,97,210,209.5,155
Cleveland,108,3.5,4,-185
Washington,92,212.5,209,180
Minnesota,89,5.5,5,-220
Phoenix,104,213.5,212.5,-110
Chicago,99,pk,pk,-110
Denver,77,207.5,1,-115
Utah,106,1,205.5,-105
Milwaukee,112,7,6.5,-270
Sacramento,87,198.5,197,220
Washington,113,213,211,250
Philadelphia,118,5,7,-310
Phoenix,107,218,216,550
Detroit,131,12,11.5,-800
OklahomaCity,108,5.5,6,-260
Orlando,121,211,212.5,210
Charlotte,113,204.5,204.5,270
Toronto,126,8,7.5,-340
Miami,86,201,206.5,100
NewYork,115,pk,1.5,-120
Indiana,97,224.5,224.5,500
Houston,118,12,11,-700
Minnesota,120,218,214.5,190
NewOrleans,102,3.5,6,-240
Memphis,95,195,194.5,350
SanAntonio,104,7,9,-450
Brooklyn,109,213,211,190
Dallas,104,4.5,5.5,-240
GoldenState,127,10,13.5,-1200
LALakers,123,225,228.5,750
Philadelphia,97,210,212,288
Boston,108,9,8,-360
Cleveland,121,7.5,7.5,-330
Atlanta,114,215.5,217.5,267
Chicago,110,208.5,209.5,462
Denver,111,12,10,-625
Milwaukee,103,200.5,201,151
Portland,91,2,4,-175
Utah,126,1,1,-120
LAClippers,107,200,202,100
Detroit,91,206,204.5,-110
Washington,109,1,pk,-110
GoldenState,133,11,10.5,-675
Orlando,112,230,228.5,475
Indiana,115,215.5,217.5,240
Toronto,120,6,7,-300
Minnesota,107,211,208.5,190
OklahomaCity,111,4.5,5.5,-240
SanAntonio,95,3.5,3.5,-155
Memphis,79,193.5,192.5,135
Sacramento,107,1,1,-115
Chicago,106,193,195.5,-105
Charlotte,100,201,205,115
Miami,105,2.5,2,-135
NewOrleans,108,2.5,3.5,-155
Utah,114,207.5,205,135
Phoenix,111,215,217,600
Boston,116,13,12,-900
LAClippers,82,207,209,160
Dallas,108,5,4.5,-190
Atlanta,114,220,217,175
Brooklyn,102,4,4.5,-210
Detroit,103,214.5,213,150
Philadelphia,108,4,4,-180
Memphis,111,208,205.5,550
Cleveland,116,11.5,11.5,-800
Sacramento,104,198,199.5,750
Milwaukee,109,11,13,-1200
LALakers,100,223.5,222,145
Denver,115,6,3.5,-170
NewOrleans,123,209,211,250
Portland,116,3,7.5,-310
Orlando,105,212.5,2.5,-140
NewYork,100,2,212,120
GoldenState,123,10.5,10.5,-650
Miami,95,218.5,221.5,450
LAClippers,106,213.5,214,600
Minnesota,112,11,12,-900
SanAntonio,87,199.5,199.5,300
OklahomaCity,90,4.5,8.5,-400
Houston,118,11,12,-900
LALakers,95,225,224.5,600
NewYork,97,210,211,500
Indiana,115,9.5,11,-700
Orlando,94,221,218.5,240
Charlotte,104,7,7.5,-300
Phoenix,115,227.5,227,450
Philadelphia,101,10.5,10.5,-650
Milwaukee,100,204,203.5,175
Boston,111,6.5,5,-210
Brooklyn,110,217.5,221.5,-105
Atlanta,90,2.5,1,-115
Cleveland,113,10,9,-500
Chicago,91,211.5,210,375
Minnesota,92,3,2.5,-145
Memphis,95,203.5,201.5,125
GoldenState,125,10,9.5,-450
NewOrleans,115,227,228,350
Denver,105,210,209,110
Dallas,122,2.5,2,-130
Detroit,93,198,200,145
SanAntonio,96,3,4,-170
Washington,69,200,196.5,145
Utah,116,1.5,4,-170
Phoenix,113,224.5,224.5,1000
Toronto,126,13,14.5,-2000
Utah,94,198,199,300
OklahomaCity,100,7,8.5,-400
Washington,106,203,202,210
Portland,92,5.5,6.5,-260
Atlanta,106,216.5,215.5,220
Orlando,110,6,6,-270
Chicago,96,210,207,425
Indiana,98,9.5,10,-600
Sacramento,95,210.5,210,750
Cleveland,101,13,12.5,-1200
Memphis,88,197,197.5,105
NewYork,99,2.5,1.5,-125
Dallas,90,204.5,201,275
Boston,97,8.5,7.5,-350
Denver,114,218.5,221.5,180
NewOrleans,123,4,5,-220
GoldenState,101,5.5,4,-165
Charlotte,87,219.5,215,142
Detroit,100,203.5,204,155
Milwaukee,104,2.5,4.5,-185
Miami,105,197.5,197.5,300
SanAntonio,117,7,8,-400
Minnesota,113,6,5.5,-220
LAClippers,107,215,210.5,180
LALakers,107,221,221,320
Philadelphia,104,8,9,-420
Washington,109,7.5,6.5,-270
Phoenix,99,215.5,213,220
OklahomaCity,95,7.5,7,-280
Brooklyn,100,215,215.5,230
Houston,112,5,6,-250
Utah,101,208,211.5,200
Chicago,119,202,202.5,416
Charlotte,111,11,9.5,-550
Cleveland,102,2,3,-170
Indiana,106,220.5,221,148
Denver,103,218,218,105
Orlando,89,1,2,-125
GoldenState,102,5.5,5.5,-240
Detroit,98,212,212,199
Sacramento,116,211,208,394
NewOrleans,109,8,9.5,-515
Dallas,102,202,201,230
Milwaukee,109,5,6.5,-280
Toronto,116,5,5,-200
Memphis,107,201,201,170
Boston,102,197,199,115
SanAntonio,105,1,2.5,-135
Washington,112,3,2,-130
LAClippers,113,206,204.5,110
Miami,101,2,2.5,-135
Brooklyn,89,212.5,212.5,115
LALakers,110,213.5,212,140
Charlotte,99,6.5,3.5,-160
Orlando,110,211.5,208.5,190
Atlanta,117,1,5.5,-240
Philadelphia,98,218,220.5,190
Cleveland,105,5,5.5,-240
NewYork,102,4,3.5,-170
Chicago,104,199,200,145
Utah,100,199,197,-105
Milwaukee,117,3,1,-115
SanAntonio,104,9.5,5,-230
Phoenix,101,205,205.5,185
OklahomaCity,102,5,5.5,-220
Memphis,101,196.5,197,180
Houston,124,8,8.5,-420
Portland,117,211,217.5,320
Toronto,102,7.5,9,-425
Sacramento,87,206,207,325
Boston,91,1,1,-120
Detroit,81,201,201,100
Denver,116,219,217,175
Indiana,126,6.5,5,-210
Dallas,92,207,208,275
Minnesota,97,8,8,-350
Philadelphia,124,223.5,218,225
NewOrleans,131,4.5,6.5,-275
Atlanta,107,205,206.5,180
NewYork,111,6,5.5,-220
Boston,85,8,5.5,-240
Chicago,108,200.5,193.5,190
Miami,107,195,193.5,105
Memphis,82,1.5,1.5,-125
NewOrleans,123,226.5,227.5,800
Houston,130,12,14,-1400
Charlotte,116,206,207,275
OklahomaCity,103,6,7.5,-350
Portland,104,213,216.5,300
GoldenState,111,11.5,8,-400
Toronto,91,6,6,-250
LAClippers,96,216,214.5,200
Atlanta,114,219.5,215,639
Cleveland,123,11,12,-950
Denver,103,208.5,211,226
Detroit,84,7,7,-275
LALakers,109,211,211,125
NewYork,113,2.5,2.5,-145
Washington,98,2.5,3,-155
Brooklyn,103,213,214,135
Philadelphia,118,216.5,215,166
Minnesota,112,6.5,4.5,-195
SanAntonio,89,5.5,5.5,-255
Dallas,95,198,200,211
Phoenix,92,209,210,171
Sacramento,99,4,5,-201
LAClippers,106,212.5,1.5,-120
Orlando,95,2,210,100
Memphis,87,199.5,199.5,263
Washington,93,7,7.5,-325
OklahomaCity,100,213,1.5,-115
Indiana,95,1.5,213.5,-105
Denver,118,209,210,199
Boston,124,8,6,-240
Portland,102,201,204.5,115
Miami,95,2.5,2.5,-135
Utah,100,3.5,5.5,-215
Chicago,103,197,196.5,180
Milwaukee,108,218.5,217.5,110
NewOrleans,115,2,2,-130
Toronto,115,10.5,12,-850
Phoenix,109,216.5,220.5,588
Charlotte,96,220,220,619
Houston,108,12.5,12,-910
Detroit,105,4,4,-180
Atlanta,91,207,206,150
NewYork,111,214,212,105
Brooklyn,104,pk,1.5,-125
LALakers,112,219,220.5,450
Cleveland,121,10,10,-650
Sacramento,96,204,202,500
Minnesota,119,10,11,-700
Dallas,97,212.5,209.5,450
GoldenState,112,12,10,-650
Detroit,104,209,207.5,185
Indiana,98,4.5,5.5,-230
Miami,104,204.5,203.5,175
Charlotte,98,5.5,5,-210
LAClippers,91,208.5,208.5,425
Washington,100,9.5,10.5,-600
Portland,95,3,4,-185
Orlando,88,210,208.5,155
OklahomaCity,119,212,213.5,105
Philadelphia,117,2,1.5,-125
Utah,107,198,197,170
Boston,95,5.5,4.5,-200
Brooklyn,87,218,218.5,700
Toronto,120,11,13,-1100
Chicago,115,204,205,300
Milwaukee,109,8,8.5,-400
Atlanta,94,200,198,220
Memphis,96,6,6.5,-270
NewOrleans,111,227,222,100
Denver,117,pk,1.5,-120
SanAntonio,109,213.5,213.5,295
Houston,124,8,8,-390
Portland,93,204.5,204,145
Charlotte,91,3,3.5,-170
Utah,100,210,212,400
Cleveland,109,8.5,9.5,-550
OklahomaCity,96,2.5,4.5,-190
NewYork,111,203.5,202,160
LAClippers,85,205.5,205.5,220
Miami,90,6,6.5,-270
Phoenix,108,219.5,218,600
Minnesota,106,11.5,12,-900
Milwaukee,111,219.5,221.5,450
Houston,115,11.5,10.5,-650
Dallas,96,197,198,200
SanAntonio,98,9.5,6,-250
Boston,102,5,5.5,-240
Memphis,93,194.5,194.5,190
Sacramento,93,206,203,600
Toronto,108,12.5,12,-900
Orlando,110,200,204,320
Detroit,114,11,9,-420
Indiana,109,3,3.5,-165
Brooklyn,97,217,220,142
Cleveland,106,1.5,216,110
Washington,99,213,2,-130
NewYork,91,202.5,205.5,260
Charlotte,109,6,8,-330
Boston,112,1.5,2.5,-140
Indiana,111,206.5,205.5,120
Miami,104,2.5,201.5,105
Atlanta,110,202.5,1.5,-125
Philadelphia,115,1.5,2,-130
Chicago,117,209.5,210.5,110
Denver,94,210,211,170
OklahomaCity,95,4,5,-200
Utah,99,213.5,217,650
Houston,120,12,12,-1000
Portland,107,204,207.5,150
Minnesota,108,3,4,-180
Phoenix,97,208,209,240
Dallas,91,6,7.5,-300
LAClippers,91,203,199.5,600
SanAntonio,109,11.5,11.5,-900
GoldenState,116,6.5,5.5,-230
LALakers,114,219,218.5,185
NewOrleans,106,218,217,110
Washington,116,3,2,-130
Sacramento,101,207,207.5,310
Philadelphia,95,9,8.5,-410
Cleveland,116,1,1,-115
Milwaukee,119,217,215,-105
