Cameroon,Croatia,0:04,0,4,Win,Tm2,450,292,-149,,,
Spain,Chile,0:02,0,2,Win,Tm2,-172,348,461,,,
Australia,Netherlands,2:03,2,3,Win,Tm2,1223,560,-417,,,
Russia,SouthKorea,1:01,1,1,Draw,Tm2,-122,263,370,,,
Brazil,Mexico,0:00,0,0,Draw,Tm2,-286,432,841,,,
Belgium,Algeria,2:01,2,1,Win,Tm1,-303,428,949,,,
Ghana,USA,1:02,1,2,Win,Tm2,141,245,200,,,
Iran,Nigeria,0:00,0,0,Draw,Tm2,383,250,-120,,,
Germany,Portugal,4:00,4,0,Win,Tm1,108,252,268,,,
Argentina,Bosnia&Herzegovina,2:01,2,1,Win,Tm1,-333,461,990,,,
France,Honduras,3:00,3,0,Win,Tm1,-370,501,1144,,,
Switzerland,Ecuador,2:01,2,1,Win,Tm1,143,224,215,,,
IvoryCoast,Japan,2:01,2,1,Win,Tm1,172,234,171,,,
England,Italy,1:02,1,2,Win,Tm2,150,199,231,,,
Uruguay,CostaRica,1:03,1,3,Win,Tm2,-227,329,800,,,
Colombia,Greece,3:00,3,0,Win,Tm1,-116,229,415,,,
Chile,Australia,3:01,3,1,Win,Tm1,-233,348,791,,,
Spain,Netherlands,1:05,1,5,Win,Tm2,-119,239,415,,,
Mexico,Cameroon,1:00,1,0,Win,Tm1,118,217,280,,,
Brazil,Croatia,3:01,3,1,Win,Tm1,-312,418,1097,,,
Netherlands,Spain,0:1 ET,0,1,Draw,Tm2,290,238,102,,,
Uruguay,Germany,2:03,2,3,Win,Tm2,286,268,-108,,,
Germany,Spain,0:01,0,1,Win,Tm2,181,238,152,,,
Uruguay,Netherlands,2:03,2,3,Win,Tm2,468,254,-145,,,
Paraguay,Spain,0:01,0,1,Win,Tm2,800,326,-238,,,
Argentina,Germany,0:04,0,4,Win,Tm2,131,229,219,,,
Uruguay,Ghana,2:1 PEN,2,1,Draw,Tm1,-116,237,351,,,
Netherlands,Brazil,2:01,2,1,Win,Tm1,309,227,100,,,
Spain,Portugal,1:00,1,0,Win,Tm1,100,223,319,,,
Paraguay,Japan,1:0 PEN,1,0,Draw,Tm1,120,217,260,,,
Brazil,Chile,3:00,3,0,Win,Tm1,-189,282,599,,,
Netherlands,Slovakia,2:01,2,1,Win,Tm1,-256,350,863,,,
Argentina,Mexico,3:01,3,1,Win,Tm1,-164,273,524,,,
Germany,England,4:01,4,1,Win,Tm1,197,206,160,,,
USA,Ghana,1:2 ET,1,2,Draw,Tm2,141,210,222,,,
Uruguay,SouthKorea,2:01,2,1,Win,Tm1,-119,234,390,,,
Chile,Spain,1:02,1,2,Win,Tm2,589,315,-196,,,
Switzerland,Honduras,0:00,0,0,Draw,Tm2,-182,301,562,,,
NorthKorea,IvoryCoast,0:03,0,3,Win,Tm2,835,399,-286,,,
Portugal,Brazil,0:00,0,0,Draw,Tm2,250,192,138,,,
Cameroon,Netherlands,1:02,1,2,Win,Tm2,453,281,-154,,,
Denmark,Japan,1:03,1,3,Win,Tm2,125,224,237,,,
Paraguay,NewZealand,0:00,0,0,Draw,Tm2,-256,348,852,,,
Slovakia,Italy,3:02,3,2,Win,Tm1,597,284,-182,,,
Australia,Serbia,2:01,2,1,Win,Tm1,346,259,-120,,,
Ghana,Germany,0:01,0,1,Win,Tm2,680,334,-222,,,
Slovenia,England,0:01,0,1,Win,Tm2,707,330,-222,,,
USA,Algeria,1:00,1,0,Win,Tm1,-115,260,322,,,
Greece,Argentina,0:02,0,2,Win,Tm2,635,324,-208,,,
Nigeria,SouthKorea,2:02,2,2,Draw,Tm2,193,229,147,,,
France,SouthAfrica,1:02,1,2,Win,Tm2,108,248,254,,,
Mexico,Uruguay,0:01,0,1,Win,Tm2,274,-104,265,,,
Spain,Honduras,2:00,2,0,Win,Tm1,-833,777,2325,,,
Chile,Switzerland,1:00,1,0,Win,Tm1,117,218,267,,,
Portugal,NorthKorea,7:00,7,0,Win,Tm1,-270,348,932,,,
Brazil,IvoryCoast,3:01,3,1,Win,Tm1,-137,248,442,,,
Italy,NewZealand,1:01,1,1,Draw,Tm2,-455,488,1573,,,
Slovakia,Paraguay,0:02,0,2,Win,Tm2,287,224,106,,,
Cameroon,Denmark,1:02,1,2,Win,Tm2,189,220,156,,,
Ghana,Australia,1:01,1,1,Draw,Tm2,137,215,223,,,
Netherlands,Japan,1:00,1,0,Win,Tm1,-227,316,794,,,
England,Algeria,0:00,0,0,Draw,Tm2,-435,488,1493,,,
Slovenia,USA,2:02,2,2,Draw,Tm2,275,222,112,,,
Germany,Serbia,0:01,0,1,Win,Tm2,-156,265,474,,,
France,Mexico,0:02,0,2,Win,Tm2,108,215,295,,,
Greece,Nigeria,2:01,2,1,Win,Tm1,279,218,112,,,
Argentina,SouthKorea,4:01,4,1,Win,Tm1,-196,287,659,,,
SouthAfrica,Uruguay,0:03,0,3,Win,Tm2,237,202,138,,,
Spain,Switzerland,0:01,0,1,Win,Tm2,-370,430,1332,,,
Honduras,Chile,0:01,0,1,Win,Tm2,480,246,-143,,,
Brazil,NorthKorea,2:01,2,1,Win,Tm1,-1000,861,3167,,,
IvoryCoast,Portugal,0:00,0,0,Draw,Tm2,296,220,106,,,
NewZealand,Slovakia,1:01,1,1,Draw,Tm2,665,294,-200,,,
Italy,Paraguay,1:01,1,1,Draw,Tm2,118,204,282,,,
Japan,Cameroon,1:00,1,0,Win,Tm1,266,212,119,,,
Netherlands,Denmark,2:00,2,0,Win,Tm1,-196,301,630,,,
Germany,Australia,4:00,4,0,Win,Tm1,-192,289,634,,,
Serbia,Ghana,0:01,0,1,Win,Tm2,100,222,307,,,
Algeria,Slovenia,0:01,0,1,Win,Tm2,273,214,114,,,
England,USA,1:01,1,1,Draw,Tm2,-196,312,600,,,
Argentina,Nigeria,1:00,1,0,Win,Tm1,-256,358,796,,,
SouthKorea,Greece,2:00,2,0,Win,Tm1,172,200,187,,,
Uruguay,France,0:00,0,0,Draw,Tm2,257,215,121,,,
SouthAfrica,Mexico,1:01,1,1,Draw,Tm2,196,213,156,,,
Italy,France,2:1 PEN,2,1,Draw,Tm1,154,181,224,,,
Germany,Portugal,3:01,3,1,Win,Tm1,-114,241,330,,,
Portugal,France,0:01,0,1,Win,Tm2,292,186,120,,,
Germany,Italy,0:2 ET,0,2,Draw,Tm2,146,189,227,,,
Brazil,France,0:01,0,1,Win,Tm2,-133,241,399,,,
England,Portugal,0:1 PEN,0,1,Draw,Tm2,110,199,300,,,
Italy,Ukraine,3:00,3,0,Win,Tm1,-175,248,594,,,
Germany,Argentina,2:1 PEN,2,1,Draw,Tm1,150,206,199,,,
Spain,France,1:03,1,3,Win,Tm2,137,200,221,,,
Brazil,Ghana,3:00,3,0,Win,Tm1,-370,441,934,,,
Switzerland,Ukraine,0:1 PEN,0,1,Draw,Tm2,137,211,217,,,
Italy,Australia,1:00,1,0,Win,Tm1,-192,282,595,,,
Portugal,Netherlands,1:00,1,0,Win,Tm1,212,206,144,,,
England,Ecuador,1:00,1,0,Win,Tm1,-204,286,637,,,
Argentina,Mexico,2:1 PEN,2,1,Draw,Tm1,-278,326,918,,,
Germany,Sweden,2:00,2,0,Win,Tm1,-164,266,488,,,
Switzerland,SouthKorea,2:00,2,0,Win,Tm1,-103,197,343,,,
Togo,France,0:02,0,2,Win,Tm2,1530,666,-769,,,
SaudiArabia,Spain,0:01,0,1,Win,Tm2,1603,606,-667,,,
Ukraine,Tunisia,1:00,1,0,Win,Tm1,-169,271,503,,,
Croatia,Australia,2:02,2,2,Draw,Tm2,120,229,210,,,
Japan,Brazil,1:04,1,4,Win,Tm2,1100,500,-500,,,
CzechRepublic,Italy,0:02,0,2,Win,Tm2,295,215,-105,,,
France,Switzerland,0:00,0,0,Draw,Tm2,-154,240,480,,,
Australia,Japan,3:01,3,1,Win,Tm1,150,215,179,,,
Mexico,Iran,3:01,3,1,Win,Tm1,-179,265,587,,,
Serbia,Netherlands,0:01,0,1,Win,Tm2,315,222,-106,,,
Argentina,IvoryCoast,2:01,2,1,Win,Tm1,-167,259,543,,,
Trinidad&Tobago,Sweden,0:00,0,0,Draw,Tm2,1134,415,-345,,,
England,Paraguay,1:00,1,0,Win,Tm1,-152,242,484,,,
Poland,Ecuador,0:02,0,2,Win,Tm2,-111,225,275,,,
Germany,CostaRica,4:02,4,2,Win,Tm1,-400,417,1123,,,
